,P1,P2,P1A,P1B,P1C,P1D,P6,P11A,P11B,P11C,P11F,P12,P16,P17,P20,P23,P27A,P27B,P27C,P27D,P27E,P27F,P27G,P37,P43,P46A,P46B,P46C,P46D,P46E,P46F,P46G,P46H,P46I,P47A,P47B,P47C,P47D,P47E,P47F,P47G,P47H,P47I,P63A,P63B,P68,P131A,P131B,P131C,P148,P149,P152,P160
1185,17,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,7,7,8.0,9.0,,10.0,,,,,5,7.0,12.0,,,,,,,2,,1,5,,,2,2,6,La Paz
1189,20,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,5,1,2.0,,,,,,,,5,,,,,,,,,2,,2,5,,,1,3,6,La Paz
1194,19,1,,,,,1,4.0,6.0,,,1,2,2,1,2,,,,,,,,1.0,7,2,4.0,9.0,,,,,,,9,,,,,,,,,1,2.0,2,5,6.0,7.0,1,3,6,El Alto
1195,19,1,,,,,1,1.0,2.0,,,1,1,1,1,1,1.0,2.0,10.0,,,,,,7,7,9.0,10.0,,,,,,,2,5.0,12.0,,,,,,,1,2.0,2,5,6.0,7.0,1,6,6,El Alto
1198,20,1,,,,,2,2.0,3.0,5.0,,1,2,1,1,3,,,,,,,,,7,10,,,,,,,,,7,9.0,,,,,,,,1,2.0,1,1,6.0,,1,6,6,El Alto
1201,16,1,,,,,1,2.0,4.0,5.0,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,11.0,,,,,1,4.0,7.0,9.0,,,,,,2,,1,1,5.0,,2,2,6,El Alto
1204,19,1,,,,,1,1.0,2.0,3.0,4.0,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,13,,,,,ACADEMICO,,,,1,1.0,2,5,1.0,,1,2,6,El Alto
1208,18,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,7,2,,,,,,,,,1,,,,,,,,,2,,2,1,,,2,3,6,El Alto
1210,17,1,,,,,2,,,,,2,2,2,1,3,,,,,,,,1.0,2,1,,,,,,,,,1,,,,,,,,,2,,1,9,,,1,2,6,El Alto
1215,20,1,,,,,1,1.0,2.0,3.0,4.0,1,2,1,1,2,,,,,,,,1.0,7,1,2.0,,,,,,,,5,,,,,,,,,1,1.0,2,5,,,1,6,6,El Alto
1219,18,1,,,,,1,1.0,5.0,,,1,2,2,1,1,1.0,2.0,4.0,,,,,1.0,3,1,2.0,4.0,,7.0,,,,,1,5.0,,,,,,,,1,1.0,2,5,,,2,3,6,El Alto
1220,16,1,,,,,1,2.0,3.0,4.0,5.0,1,2,1,1,2,,,,,,,,1.0,3,1,2.0,7.0,,8.0,9.0,10.0,11.0,,5,7.0,9.0,13.0,,DEPORTES,,,,2,,1,1,,,1,2,6,La Paz
1222,20,1,,,,,1,3.0,4.0,5.0,,1,1,2,1,1,1.0,2.0,4.0,,,,,1.0,7,1,2.0,7.0,,8.0,10.0,11.0,,,5,7.0,9.0,,,,,,,1,1.0,2,5,,,1,6,6,La Paz
1223,16,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,8.0,,9.0,10.0,,,,9,,,,,,,,,2,,3,5,1.0,,2,2,6,La Paz
1229,15,1,,,,,2,1.0,4.0,,,1,2,2,1,3,,,,,,,,2.0,2,5,,,,,,,,,1,,,,,,,,,2,,1,5,1.0,2.0,1,2,6,Caranavi
1231,19,1,,,,,1,1.0,,,,1,2,2,1,3,,,,,,,,1.0,7,2,5.0,10.0,,,,,,,5,9.0,,,,,,,,1,1.0,3,1,5.0,3.0,2,2,6,Caranavi
1234,17,1,,,,,1,5.0,,,,1,2,2,1,3,,,,,,,,1.0,6,1,9.0,10.0,,,,,,,1,,,,,,,,,2,,1,5,,,2,2,6,Caranavi
1235,17,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,7,1,2.0,3.0,,4.0,6.0,8.0,9.0,,1,5.0,7.0,9.0,,,,,,1,1.0,1,3,5.0,,2,2,6,Caranavi
1236,16,1,,,,,2,5.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,6.0,,7.0,8.0,9.0,10.0,,9,,,,,,,,,2,,1,1,,,1,2,6,Caranavi
1241,14,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,1,9.0,,,,,,,,1,2.0,3,6,,,2,2,6,Santa Cruz
1243,14,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,7,1,8.0,10.0,,,,,,,7,,,,,,,,,2,,1,9,,,1,2,6,Santa Cruz
1244,15,1,,,,,1,1.0,2.0,3.0,4.0,1,1,2,1,2,,,,,,,,1.0,7,1,8.0,10.0,,,,,,,7,,,,,,,,,2,,1,6,1.0,,2,2,6,Santa Cruz
1256,15,1,,,,,1,2.0,4.0,5.0,,1,2,2,1,2,,,,,,,,1.0,7,1,7.0,10.0,,,,,,,1,7.0,,,,,,,,2,,3,1,3.0,6.0,2,2,6,Santa Cruz
1257,19,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,5,1,8.0,10.0,,,,,,,1,7.0,,,,,,,,2,,2,6,5.0,1.0,1,6,6,Santa Cruz
1265,24,1,,,,,1,1.0,4.0,5.0,,1,1,2,1,1,1.0,9.0,10.0,,,,,1.0,7,1,9.0,10.0,,,,,,,1,5.0,7.0,8.0,,,,,,1,2.0,2,1,5.0,6.0,1,6,6,Santa Cruz
1266,14,1,,,,,2,,,,,1,1,2,2,3,,,,,,,,1.0,7,7,9.0,10.0,,,,,,,1,7.0,,,,,,,,2,,1,3,5.0,6.0,2,2,6,Santa Cruz
1267,15,1,,,,,1,1.0,3.0,4.0,5.0,1,2,2,1,2,,,,,,,,1.0,7,7,9.0,10.0,,,,,,,7,9.0,,,,,,,,1,2.0,1,6,5.0,4.0,1,2,6,Santa Cruz
1270,20,1,,,,,1,1.0,3.0,4.0,5.0,1,1,2,2,2,,,,,,,,1.0,7,1,9.0,10.0,,,,,,,1,7.0,,,,,,,,1,2.0,2,1,6.0,5.0,2,6,6,Santa Cruz
1271,19,1,,,,,2,,,,,1,1,2,2,3,,,,,,,,1.0,7,10,,,,,,,,,1,7.0,,,,,,,,2,,3,1,3.0,6.0,2,6,6,Santa Cruz
1282,15,1,,,,,2,,,,,1,1,2,2,3,,,,,,,,1.0,5,8,,,,,,,,,13,,,,,NO BUSCA,,,,2,,1,6,1.0,5.0,1,2,6,Santa Cruz
1283,15,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,4,2,9.0,,,,,,,,5,,,,,,,,,2,,1,6,1.0,3.0,2,2,6,Santa Cruz
1290,19,1,,,,,1,2.0,3.0,,,1,1,2,1,3,,,,,,,,1.0,7,10,,,,,,,,,1,,,,,,,,,1,2.0,2,1,6.0,,1,4,6,Santa Cruz
1300,18,1,,,,,1,1.0,3.0,5.0,,1,2,2,1,3,,,,,,,,1.0,7,1,6.0,7.0,,,,,,,5,7.0,9.0,,,,,,,1,2.0,2,6,5.0,1.0,1,3,6,Santa Cruz
1302,19,1,,,,,1,3.0,4.0,5.0,,1,2,2,1,2,,,,,,,,1.0,7,1,6.0,9.0,,,,,,,5,6.0,7.0,,,,,,,2,,2,6,5.0,1.0,1,6,6,Santa Cruz
1303,22,1,,,,,2,,,,,1,2,2,2,3,,,,,,,,1.0,5,7,10.0,,,,,,,,1,5.0,9.0,,,,,,,2,,2,1,5.0,6.0,2,6,6,Santa Cruz
1307,20,1,,,,,1,1.0,4.0,5.0,,1,1,2,2,1,4.0,10.0,,,,,,1.0,7,4,7.0,10.0,,,,,,,5,9.0,,,,,,,,1,1.0,2,1,6.0,3.0,2,6,6,Santa Cruz
1310,17,1,,,,,1,1.0,2.0,,,1,1,1,2,1,1.0,2.0,3.0,,4.0,,,1.0,7,1,8.0,,,,,,,,5,7.0,,,,,,,,1,1.0,1,5,6.0,1.0,1,2,6,Santa Cruz
1315,15,1,,,,,1,3.0,4.0,,,1,2,2,2,2,,,,,,,,1.0,7,7,9.0,10.0,,,,,,,1,5.0,7.0,,,,,,,2,,1,1,6.0,2.0,1,2,6,Santa Cruz
1321,15,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,7,7,9.0,10.0,,,,,,,1,5.0,,,,,,,,1,2.0,2,1,2.0,3.0,1,2,6,Santa Cruz
1323,20,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,6.0,,,,,,,,1,5.0,,,,,,,,2,,2,2,3.0,1.0,1,3,6,Santa Cruz
1324,16,1,,,,,2,,,,,1,1,2,2,3,,,,,,,,1.0,7,10,,,,,,,,,5,,,,,,,,,2,,1,1,3.0,2.0,1,2,6,Santa Cruz
1328,16,1,,,,,1,1.0,2.0,4.0,,1,1,2,1,2,,,,,,,,1.0,7,1,6.0,9.0,,,,,,,5,7.0,,,,,,,,1,2.0,1,5,6.0,1.0,2,2,6,Santa Cruz
1335,24,1,,,,,2,,,,,1,1,2,2,3,,,,,,,,1.0,5,1,9.0,10.0,,,,,,,1,7.0,9.0,,,,,,,2,,2,6,5.0,1.0,2,6,6,Santa Cruz
1336,17,1,,,,,1,1.0,3.0,4.0,5.0,1,1,2,2,2,,,,,,,,1.0,7,8,9.0,10.0,,,,,,,1,7.0,9.0,,,,,,,2,,2,1,5.0,6.0,1,2,6,Santa Cruz
1339,14,1,,,,,1,2.0,3.0,,,1,2,2,2,2,,,,,,,,1.0,7,7,9.0,10.0,,,,,,,1,7.0,,,,,,,,2,,1,1,6.0,7.0,1,2,6,Warnes
1345,17,1,,,,,2,,,,,1,2,1,1,3,,,,,,,,1.0,3,1,7.0,10.0,,,,,,,1,7.0,,,,,,,,2,,1,3,4.0,6.0,1,2,6,Warnes
1346,22,1,,,,,1,4.0,5.0,,,1,1,2,1,2,,,,,,,,1.0,2,1,2.0,10.0,,,,,,,1,5.0,7.0,9.0,,,,,,2,,1,1,5.0,6.0,2,4,6,Warnes
1354,15,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,5,1,2.0,10.0,,,,,,,7,,,,,,,,,2,,1,1,3.0,5.0,1,2,6,Warnes
1365,22,1,,,,,2,4.0,5.0,,,1,2,2,2,3,,,,,,,,1.0,6,6,9.0,10.0,,,,,,,5,9.0,,,,,,,,1,2.0,2,6,1.0,5.0,2,6,6,Camiri
1366,19,1,,,,,1,4.0,5.0,,,1,2,2,2,2,,,,,,,,1.0,7,6,10.0,,,,,,,,5,,,,,,,,,1,2.0,2,5,6.0,1.0,2,6,6,Camiri
1367,17,1,,,,,1,5.0,,,,1,2,2,2,2,,,,,,,,1.0,7,6,8.0,10.0,,,,,,,5,7.0,,,,,,,,2,,1,6,5.0,1.0,1,2,6,Camiri
1375,21,1,,,,,2,5.0,,,,1,2,2,2,3,,,,,,,,1.0,6,6,8.0,10.0,,,,,,,1,7.0,,,,,,,,1,2.0,2,1,5.0,6.0,1,6,6,Santa Fé de Yapacani
1376,17,1,,,,,1,5.0,,,,1,2,2,2,3,,,,,,,,1.0,6,1,6.0,10.0,,,,,,,1,5.0,,,,,,,,2,,1,6,5.0,1.0,2,2,6,Santa Fé de Yapacani
1377,15,1,,,,,2,2.0,,,,1,2,2,2,3,,,,,,,,1.0,7,6,10.0,,,,,,,,5,,,,,,,,,2,,1,1,6.0,5.0,1,2,6,Santa Fé de Yapacani
1378,15,1,,,,,1,2.0,3.0,5.0,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,4,7.0,,,,,,,,2,,1,2,3.0,1.0,2,2,6,Quebrada León
1396,14,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,4,1,9.0,10.0,,,,,,,1,7.0,9.0,,,,,,,2,,1,1,2.0,5.0,2,2,6,Pueblo Nuevo
1397,16,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,3,1,8.0,10.0,,,,,,,1,7.0,,,,,,,,2,,3,1,2.0,6.0,1,2,6,Pueblo Nuevo
1405,15,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,6,9,10.0,,,,,,,,5,7.0,,,,,,,,2,,1,1,6.0,7.0,2,2,6,Pueblo Nuevo
1406,16,1,,,,,2,3.0,4.0,,,1,2,2,2,3,,,,,,,,1.0,7,6,9.0,10.0,,,,,,,5,7.0,,,,,,,,2,,1,6,1.0,5.0,1,2,6,Pueblo Nuevo
1408,19,1,,,,,1,1.0,3.0,4.0,,1,1,2,1,2,,,,,,,,1.0,7,4,5.0,10.0,,,,,,,9,,,,,,,,,2,,2,5,6.0,4.0,1,6,6,Sucre
1410,32,1,,,,,1,1.0,,,,1,1,2,1,3,,,,,,,,1.0,7,5,6.0,10.0,,,,,,,9,,,,,,,,,2,,2,2,3.0,1.0,2,7,6,Sucre
1411,19,1,,,,,1,3.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,8.0,10.0,,,,,,,9,,,,,,,,,2,,1,5,6.0,,1,3,6,Sucre
1419,14,1,,,,,1,2.0,3.0,4.0,5.0,1,1,2,2,2,,,,,,,,1.0,3,1,7.0,10.0,,,,,,,7,,,,,,,,,2,,1,1,,,2,2,6,Sucre
1420,47,1,,,,,1,5.0,,,,1,2,2,1,3,,,,,,,,1.0,7,2,4.0,5.0,,10.0,,,,,1,4.0,,,,,,,,1,2.0,2,5,,,2,6,6,Sucre
1421,17,1,,,,,1,2.0,3.0,4.0,5.0,1,1,2,1,3,,,,,,,,1.0,7,2,8.0,,,,,,,,7,,,,,,,,,1,2.0,1,5,6.0,,2,1,6,Sucre
1424,22,1,,,,,2,,,,,1,1,2,2,3,,,,,,,,1.0,7,1,7.0,9.0,,,,,,,13,,,,,DEPORTES,,,,1,2.0,2,1,,,1,6,6,Sucre
1427,20,1,,,,,1,3.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,7,1,4.0,10.0,,,,,,,5,12.0,,,,,,,,1,2.0,2,5,,,1,6,6,Sucre
1428,16,1,,,,,1,1.0,2.0,4.0,5.0,1,1,2,1,2,,,,,,,,1.0,7,2,4.0,7.0,,9.0,,,,,2,7.0,8.0,9.0,10.0,,11.0,,,1,2.0,2,6,,,2,2,6,Sucre
1431,16,1,,,,,1,3.0,4.0,,,1,1,2,1,3,,,,,,,,1.0,7,10,,,,,,,,,7,,,,,,,,,2,,1,1,,,1,2,6,Sucre
1433,15,1,,,,,1,2.0,4.0,5.0,,1,1,2,1,3,,,,,,,,,7,1,,,,,,,,,1,,,,,,,,,2,,1,5,,,2,2,6,Sucre
1434,25,1,,,,,2,1.0,,,,1,2,2,1,3,,,,,,,,1.0,5,1,9.0,,,,,,,,3,13.0,,,,FARANDULA,,,,1,2.0,2,6,1.0,2.0,2,6,6,Sucre
1437,19,1,,,,,1,5.0,,,,1,1,2,2,1,4.0,5.0,7.0,,8.0,9.0,10.0,1.0,7,1,2.0,4.0,,7.0,9.0,10.0,11.0,,7,8.0,9.0,12.0,,,,,,1,2.0,2,4,5.0,,2,6,6,Sucre
1441,19,1,,,,,1,1.0,2.0,3.0,5.0,1,1,2,1,1,1.0,5.0,,,,,,1.0,7,5,7.0,,,,,,,,13,,,,,,,,,1,2.0,3,5,1.0,3.0,1,2,6,Sucre
1443,15,1,,,,,1,2.0,4.0,5.0,,1,1,2,1,2,,,,,,,,1.0,7,1,2.0,9.0,,,,,,,5,12.0,,,,,,,,2,,3,6,4.0,3.0,2,2,6,Sucre
1445,14,1,,,,,1,1.0,4.0,5.0,,1,1,2,1,2,,,,,,,,1.0,3,2,7.0,8.0,,,,,,,1,5.0,9.0,,,,,,,2,,3,6,5.0,7.0,1,2,6,Sucre
1446,22,1,,,,,1,1.0,,,,1,1,1,1,1,1.0,2.0,,,,,,1.0,7,1,5.0,,,,,,,,1,3.0,,,,,,,,1,1.0,2,5,,,2,6,6,Sucre
1447,17,1,,,,,1,1.0,2.0,3.0,,1,1,2,1,2,,,,,,,,1.0,7,1,2.0,,,,,,,,1,3.0,7.0,,,,,,,2,,2,5,1.0,,1,2,6,Sucre
1448,20,1,,,,,1,1.0,2.0,3.0,,1,1,2,1,1,1.0,2.0,4.0,,,,,1.0,7,1,2.0,,,,,,,,5,10.0,,,,,,,,1,1.0,2,1,,,1,6,6,Sucre
1450,22,1,,,,,1,1.0,2.0,,,1,1,2,1,2,,,,,,,,1.0,7,1,5.0,,,,,,,,1,5.0,12.0,,,,,,,1,2.0,2,5,6.0,,2,6,6,Sucre
1451,16,1,,,,,1,1.0,2.0,,,1,1,2,1,2,,,,,,,,1.0,5,1,2.0,5.0,,,,,,,1,5.0,,,,,,,,2,,3,9,,,2,2,6,Sucre
1453,14,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,7.0,,8.0,9.0,10.0,11.0,,5,7.0,9.0,12.0,,,,,,2,,1,5,1.0,2.0,1,2,6,Sucre
1454,15,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,3,1,2.0,9.0,,10.0,11.0,,,,5,7.0,9.0,,,,,,,2,,3,5,1.0,2.0,2,2,6,Sucre
1459,18,1,,,,,2,1.0,2.0,3.0,4.0,1,2,2,1,3,,,,,,,,1.0,3,1,6.0,9.0,,10.0,11.0,,,,1,3.0,4.0,5.0,7.0,,9.0,12.0,,2,,1,6,5.0,3.0,1,2,6,Sucre
1460,19,1,,,,,2,2.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,6.0,,7.0,9.0,10.0,11.0,,1,4.0,7.0,9.0,12.0,,,,,1,2.0,2,6,5.0,1.0,2,6,6,Sucre
1463,18,1,,,,,1,5.0,,,,1,1,2,1,2,,,,,,,,1.0,7,1,10.0,,,,,,,,1,,,,,,,,,2,,1,5,6.0,2.0,1,2,6,Sucre
1464,19,1,,,,,1,5.0,,,,1,1,2,1,3,,,,,,,,2.0,4,2,10.0,11.0,,,,,,,5,,,,,,,,,2,,2,5,6.0,2.0,1,6,6,Sucre
1468,19,1,,,,,1,5.0,,,,1,1,2,1,3,,,,,,,,1.0,6,1,10.0,,,,,,,,1,9.0,,,,,,,,2,,2,5,4.0,6.0,2,6,6,Sucre
1472,15,1,,,,,1,1.0,5.0,,,1,1,2,1,2,,,,,,,,1.0,7,1,10.0,,,,,,,,9,,,,,,,,,2,,3,9,,,2,2,6,Sucre
1479,19,1,,,,,2,,,,,1,1,2,1,3,,,,,,,,1.0,3,1,2.0,10.0,,,,,,,5,9.0,,,,,,,,1,1.0,2,5,1.0,,2,6,6,Sucre
1480,17,1,,,,,1,4.0,5.0,,,1,1,2,1,2,,,,,,,,1.0,7,1,7.0,9.0,,10.0,,,,,9,,,,,,,,,2,,1,1,,,1,2,6,Sucre
1483,31,1,,,,,1,5.0,,,,1,1,2,1,2,,,,,,,,1.0,7,1,2.0,4.0,,9.0,10.0,11.0,,,5,9.0,11.0,12.0,,,,,,2,,2,5,,,2,6,6,Sucre
1485,15,1,,,,,1,,,,,1,1,2,1,3,,,,,,,,1.0,7,1,7.0,9.0,,10.0,,,,,7,,,,,,,,,2,,1,5,,,1,2,6,Sucre
1487,23,1,,,,,1,1.0,5.0,,,1,1,2,1,2,,,,,,,,1.0,7,10,11.0,,,,,,,,9,,,,,,,,,1,1.0,2,9,,,1,6,6,Sucre
1490,25,1,,,,,1,2.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,4.0,,6.0,7.0,8.0,9.0,10.0,1,5.0,9.0,,,,,,,1,1.0,2,1,,,2,6,6,Sucre
1495,18,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,5,1,,,,,,,,,1,,,,,,,,,2,,3,6,2.0,,2,3,6,Sucre
1502,18,1,,,,,1,2.0,4.0,,,1,2,2,1,3,,,,,,,,1.0,7,2,7.0,,,,,,,,1,7.0,9.0,,,,,,,2,,1,1,7.0,3.0,1,4,6,Camargo
1504,15,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,1,7.0,,,,,,,,2,,1,9,,,2,2,6,Camargo
1508,18,1,,,,,1,1.0,3.0,4.0,,1,1,2,1,2,,,,,,,,1.0,7,1,8.0,10.0,,,,,,,5,7.0,,,,,,,,2,,3,1,2.0,6.0,1,3,6,Camargo
1509,16,1,,,,,2,2.0,4.0,,,1,2,2,1,3,,,,,,,,1.0,7,2,9.0,10.0,,,,,,,5,7.0,9.0,12.0,,,,,,2,,3,5,6.0,,2,2,6,Camargo
1516,17,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,7.0,9.0,,,,,,,2,5.0,,,,,,,,2,,3,9,,,2,2,6,Papagayo
1537,14,1,,,,,2,,,,,2,2,2,1,3,,,,,,,,1.0,5,1,7.0,10.0,,,,,,,7,,,,,,,,,2,,3,9,,,1,2,6,Papagayo
1544,23,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,5.0,7.0,,,,,,,1,4.0,7.0,,,,,,,1,2.0,3,1,2.0,6.0,2,6,6,Chajra Khasa
1546,15,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,7.0,,,,,,,1,2.0,7.0,,,,,,,2,,3,1,3.0,5.0,2,2,6,Chajra Khasa
1550,17,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,8.0,,,,,,,,2,7.0,,,,,,,,2,,3,9,,,1,2,6,Chajra Khasa
1551,16,1,,,,,2,,,,,2,2,2,1,3,,,,,,,,1.0,7,1,9.0,,,,,,,,1,,,,,,,,,2,,3,7,,,2,2,6,Chajra Khasa
1558,16,1,,,,,1,5.0,,,,1,1,2,1,3,,,,,,,,1.0,2,2,,,,,,,,,9,,,,,,,,,2,,1,5,6.0,1.0,1,2,6,Potosí
1564,16,1,,,,,1,4.0,5.0,,,1,1,2,1,2,,,,,,,,1.0,6,1,7.0,9.0,,,,,,,5,9.0,,,,,,,,2,,1,6,5.0,2.0,2,2,6,Potosí
1565,24,1,,,,,1,1.0,4.0,,,1,1,2,1,1,1.0,4.0,7.0,,,,,1.0,5,1,10.0,,,,,,,,1,5.0,,,,,,,,2,,2,1,6.0,,1,6,6,Potosí
1571,14,1,,,,,1,3.0,4.0,5.0,,1,1,2,1,2,,,,,,,,1.0,7,10,,,,,,,,,9,,,,,,,,,2,,1,5,6.0,,1,2,6,Potosí
1572,23,1,,,,,1,4.0,5.0,,,1,2,2,1,1,1.0,2.0,,,,,,1.0,6,1,10.0,11.0,,,,,,,5,9.0,,,,,,,,1,2.0,2,5,6.0,7.0,1,6,6,Potosí
1575,15,1,,,,,1,4.0,5.0,,,1,1,2,1,2,,,,,,,,1.0,6,1,10.0,,,,,,,,5,9.0,,,,,,,,2,,1,1,6.0,2.0,2,2,6,Potosí
1580,15,1,,,,,1,2.0,3.0,4.0,5.0,1,2,2,1,2,,,,,,,,1.0,7,1,2.0,8.0,,10.0,,,,,5,7.0,9.0,,,,,,,2,,1,5,1.0,2.0,1,2,6,Potosí
1581,19,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,2,1,2.0,6.0,,,,,,,1,7.0,9.0,12.0,,,,,,1,2.0,2,9,,,2,6,6,Potosí
1594,18,1,,,,,1,1.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,7,2,8.0,,,,,,,,7,9.0,,,,,,,,2,,2,2,3.0,4.0,2,2,6,Potosí
1595,15,1,,,,,1,3.0,,,,1,1,2,1,3,,,,,,,,1.0,5,1,8.0,9.0,,,,,,,9,,,,,,,,,2,,3,2,3.0,,1,2,6,Potosí
1598,28,1,,,,,2,,,,,2,2,2,1,3,,,,,,,,1.0,5,10,,,,,,,,,9,,,,,,,,,2,,3,1,2.0,,2,2,6,Potosí
1599,36,1,,,,,2,5.0,,,,1,1,2,2,3,,,,,,,,1.0,3,4,,,,,,,,,3,,,,,,,,,1,1.0,2,6,,,2,6,6,Potosí
1605,19,1,,,,,1,2.0,3.0,4.0,5.0,2,2,2,2,3,,,,,,,,1.0,7,2,4.0,6.0,,7.0,10.0,11.0,,,1,4.0,5.0,9.0,,,,,,1,1.0,2,5,6.0,,1,6,6,Potosí
1606,14,1,,,,,1,2.0,,,,1,2,2,2,3,,,,,,,,1.0,1,1,10.0,,,,,,,,13,,,,,NINGUNO,,,,2,,3,1,5.0,6.0,2,2,6,Potosí
1613,14,1,,,,,1,1.0,5.0,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,10.0,,,,,,,1,9.0,,,,,,,,2,,1,5,1.0,7.0,2,2,6,Uyuni
1614,16,1,,,,,1,1.0,,,,1,1,2,1,3,,,,,,,,1.0,7,1,2.0,7.0,,10.0,,,,,5,9.0,,,,,,,,2,,1,5,6.0,4.0,1,2,6,Uyuni
1622,15,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,7,1,7.0,9.0,,10.0,,,,,1,4.0,7.0,9.0,,,,,,2,,1,5,6.0,1.0,2,2,6,Tres Cruces
1628,25,1,,,,,2,2.0,3.0,4.0,,1,2,2,1,3,,,,,,,,1.0,5,1,2.0,6.0,,7.0,8.0,9.0,10.0,11.0,1,3.0,5.0,7.0,9.0,,12.0,,,1,2.0,2,5,6.0,1.0,1,6,6,Tres Cruces
1631,17,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,,,,,,,,1,5.0,12.0,,,,,,,1,2.0,1,5,7.0,6.0,1,2,6,Chayanta
1632,17,1,,,,,1,2.0,4.0,5.0,,1,2,2,1,2,,,,,,,,,3,2,6.0,7.0,,9.0,,,,,5,7.0,12.0,,,,,,,9,,3,5,,,1,2,6,Chayanta
1633,19,1,,,,,2,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,3.0,,,,,,,1,5.0,7.0,9.0,,,,,,2,,1,1,6.0,,2,2,6,Chayanta
1634,20,1,,,,,1,1.0,,,,2,2,2,1,3,,,,,,,,1.0,5,1,2.0,,,,,,,,9,,,,,,,,,1,1.0,2,5,6.0,7.0,2,6,6,Chayanta
1638,26,1,,,,,1,1.0,5.0,,,1,2,2,1,3,,,,,,,,1.0,7,4,,,,,,,,,9,,,,,,,,,1,2.0,2,1,5.0,6.0,1,6,6,Chayanta
1641,17,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,1.0,3,1,2.0,8.0,,9.0,10.0,11.0,,,1,5.0,7.0,,,,,,,9,,1,4,1.0,2.0,2,2,6,Chayanta
1642,18,1,,,,,2,1.0,4.0,5.0,,1,2,2,1,3,,,,,,,,1.0,3,1,2.0,5.0,,,,,,,1,3.0,9.0,,,,,,,9,,1,1,4.0,7.0,1,3,6,Chayanta
1652,20,1,,,,,1,,,,,1,2,2,1,3,,,,,,,,1.0,7,1,2.0,7.0,,9.0,10.0,11.0,,,4,9.0,,,,,,,,2,,2,9,,,2,2,6,Amaya Pampa
1653,16,1,,,,,1,2.0,3.0,5.0,,1,1,2,1,3,,,,,,,,1.0,2,1,7.0,8.0,,,,,,,13,,,,,JUEGOS,,,,2,,1,2,3.0,1.0,1,2,6,Amaya Pampa
1654,19,1,,,,,2,4.0,,,,1,1,2,1,3,,,,,,,,1.0,3,1,2.0,,,,,,,,1,9.0,,,,,,,,2,,1,2,1.0,,1,2,6,Amaya Pampa
1663,18,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,,1,1,4.0,,,,,,,,9,,,,,,,,,2,,1,2,1.0,,2,2,6,Amaya Pampa
1664,16,1,,,,,2,5.0,,,,1,2,2,1,3,,,,,,,,2.0,1,4,,,,,,,,,5,9.0,,,,,,,,2,,1,1,2.0,,2,2,6,Amaya Pampa
1673,21,1,,,,,1,1.0,5.0,,,1,2,1,1,2,,,,,,,,1.0,7,1,7.0,,,,,,,,7,9.0,,,,,,,,2,,2,6,5.0,1.0,1,4,6,Amaya Pampa
